project_name,SKU,ASIN,头程单价,FOB单价
花睡,4P-F-Chocolate Brown,B0DHVHMKGX,0.92,8.25
花睡,4P-F-Bright Green,B0DHVFZXB3,0.92,8.25
花睡,4P-F-Blush Pink,B0DHVJ9PVT,0.92,8.25
花睡,4P-F-Azure Blue,B0DHVFB7TR,0.92,8.25
润茗,LJP-12-250,B0DP2WB2L8,3.06,2.12
润茗,LJP-12-350,B0DP2VPVHZ,3.06,2.74
润茗,YLG-WBS-2-600,B0DQTBDM78,1.46,1.69
润茗,YLG-DBS-2-600,B0DQTPLQ71,1.46,2.04
润茗,CCG-3-1000ml,B0DRFT7C3J,2.07,1.93
润茗,CCG-3-2300ml,B0DRFS5MCJ,2.07,2.52
润茗,FYP-2-Black-500ml,B0F1MMT3YF,1.12,1.74
润茗,FYP-2-Gold-500ml,B0F1MNQDT4,1.12,1.74
弥森,JYHM-BBrown-L,B0D86MZF85,1.11,7.36
弥森,JYHM-BBrown-M,B0D86JZJM5,0.83,6.11
弥森,JYHM-BBrown-XL,B0D86JFS6F,1.53,8.4
弥森,JYHM-DGrey-L,B0D86531BV,1.11,7.36
弥森,JYHM-DGrey-M,B0D86FPLDB,0.83,6.11
弥森,JYHM-DGrey-XL,B0D86CX32V,1.53,8.4
弥森,JYHM-Khaki-XL,B0DT9JFYLN,1.47,8.4
弥森,JYHM-LGray-XL,B0DT9J7MH6,1.47,8.4
弥森,UDB-Brown-L,B0D87BG76T,1.58,9.72
弥森,UDB-Brown-XL,B0D87GLKYF,2.12,13.19
弥森,UDB-Brown-XXL,B0D87DGDVY,2.81,15.69
弥森,UDB-DGrey-L,B0D87CPVRP,1.58,9.72
弥森,UDB-DGrey-XL,B0D87CX9XB,2.12,13.19
弥森,UDB-DGrey-XXL,B0D87CCM4S,2.81,15.69
弥森,UDB-NBlue-XXL,B0DT9MPSRT,4.68,15.69
弥森,UDB-SGreen-XXL,B0DT99LFNM,4.68,15.69
